iter	Passed	Remaining
878	18047	6590
879	18067	6570
880	18090	6550
881	18112	6530
882	18133	6509
883	18153	6489
884	18173	6468
885	18193	6447
886	18214	6427
887	18234	6406
888	18254	6386
889	18274	6365
890	18294	6344
891	18314	6323
892	18334	6303
893	18353	6282
894	18373	6261
895	18393	6240
896	18413	6219
897	18434	6199
898	18453	6178
899	18473	6157
900	18493	6137
901	18512	6116
902	18532	6095
903	18552	6074
904	18572	6054
905	18592	6033
906	18614	6013
907	18634	5992
908	18656	5972
909	18677	5952
910	18698	5931
911	18720	5911
912	18742	5891
913	18761	5870
914	18782	5850
915	18802	5829
916	18822	5808
917	18843	5788
918	18863	5767
919	18883	5747
920	18904	5726
921	18924	5706
922	18945	5685
923	18965	5665
924	18986	5644
925	19008	5624
926	19028	5603
927	19048	5583
928	19069	5562
929	19088	5541
930	19108	5521
931	19127	5500
932	19147	5479
933	19168	5459
934	19189	5438
935	19209	5418
936	19229	5397
937	19248	5376
938	19268	5355
939	19288	5334
940	19309	5314
941	19329	5294
942	19350	5273
943	19370	5253
944	19390	5232
945	19410	5211
946	19429	5190
947	19450	5170
948	19470	5149
949	19491	5129
950	19511	5108
951	19531	5087
952	19551	5067
953	19571	5046
954	19592	5026
955	19612	5005
956	19632	4984
957	19652	4964
958	19672	4943
959	19692	4923
960	19711	4902
961	19732	4881
962	19750	4860
963	19770	4840
964	19791	4819
965	19810	4798
966	19830	4778
967	19865	4761
968	19885	4740
969	19905	4719
970	19927	4699
971	19949	4679
972	19971	4659
973	19992	4638
974	20014	4618
975	20035	4598
976	20066	4580
977	20094	4561
978	20116	4541
979	20137	4520
980	20158	4500
981	20180	4479
982	20201	4459
983	20222	4439
984	20242	4418
985	20263	4398
986	20284	4377
987	20305	4356
988	20326	4336
989	20347	4316
990	20368	4295
991	20389	4275
992	20411	4254
993	20432	4234
994	20453	4213
995	20473	4193
996	20494	4172
997	20514	4152
998	20535	4131
999	20554	4110
1000	20574	4090
1001	20594	4069
1002	20615	4049
1003	20636	4028
1004	20656	4007
1005	20676	3987
1006	20696	3966
1007	20716	3945
1008	20736	3925
1009	20756	3904
1010	20776	3884
1011	20797	3863
1012	20818	3843
1013	20838	3822
1014	20859	3802
1015	20880	3781
1016	20900	3760
1017	20920	3740
1018	20941	3719
1019	20962	3699
1020	20983	3678
1021	21004	3658
1022	21026	3637
1023	21046	3617
1024	21079	3598
1025	21100	3578
1026	21120	3557
1027	21140	3537
1028	21160	3516
1029	21182	3496
1030	21202	3475
1031	21224	3455
1032	21245	3434
1033	21265	3413
1034	21284	3393
1035	21304	3372
1036	21325	3351
1037	21344	3331
1038	21364	3310
1039	21383	3289
1040	21403	3269
1041	21423	3248
1042	21443	3227
1043	21464	3207
1044	21484	3186
1045	21508	3166
1046	21528	3145
1047	21549	3125
1048	21569	3104
1049	21589	3084
1050	21619	3065
1051	21646	3045
1052	21670	3025
1053	21690	3004
1054	21710	2983
1055	21731	2963
1056	21756	2943
1057	21777	2922
1058	21797	2902
1059	21818	2881
1060	21839	2861
1061	21860	2840
1062	21881	2820
1063	21903	2799
1064	21923	2779
1065	21944	2758
1066	21965	2737
1067	21987	2717
1068	22007	2696
1069	22027	2676
1070	22049	2655
1071	22071	2635
1072	22091	2614
1073	22112	2594
1074	22133	2573
1075	22154	2553
1076	22175	2532
1077	22195	2511
1078	22215	2491
1079	22236	2470
1080	22257	2450
1081	22277	2429
1082	22297	2408
1083	22317	2388
1084	22337	2367
1085	22358	2347
1086	22379	2326
1087	22401	2305
1088	22420	2285
1089	22440	2264
1090	22461	2244
1091	22482	2223
1092	22503	2202
1093	22523	2182
1094	22543	2161
1095	22564	2141
1096	22584	2120
1097	22604	2099
1098	22623	2079
1099	22643	2058
1100	22663	2037
1101	22685	2017
1102	22705	1996
1103	22725	1976
1104	22747	1955
1105	22767	1935
1106	22787	1914
1107	22807	1893
1108	22826	1873
1109	22846	1852
1110	22865	1831
1111	22885	1811
1112	22905	1790
1113	22925	1769
1114	22945	1749
1115	22967	1728
1116	22988	1708
1117	23008	1687
1118	23028	1666
1119	23048	1646
1120	23068	1625
1121	23088	1605
1122	23108	1584
1123	23127	1563
1124	23147	1543
1125	23168	1522
1126	23188	1501
1127	23208	1481
1128	23228	1460
1129	23248	1440
1130	23268	1419
1131	23288	1398
1132	23307	1378
1133	23326	1357
1134	23346	1337
1135	23367	1316
1136	23386	1295
1137	23407	1275
1138	23429	1254
1139	23454	1234
1140	23475	1213
1141	23495	1193
1142	23516	1172
1143	23537	1152
1144	23557	1131
1145	23578	1111
1146	23598	1090
1147	23622	1070
1148	23643	1049
1149	23665	1028
1150	23687	1008
1151	23708	987
1152	23729	967
1153	23751	946
1154	23772	926
1155	23792	905
1156	23813	885
1157	23835	864
1158	23856	843
1159	23876	823
1160	23897	802
1161	23919	782
1162	23941	761
1163	23962	741
1164	23985	720
1165	24006	700
1166	24027	679
1167	24049	658
1168	24070	638
1169	24090	617
1170	24111	597
1171	24133	576
1172	24154	555
1173	24176	535
1174	24199	514
1175	24224	494
1176	24245	473
1177	24267	453
1178	24288	432
1179	24308	412
1180	24330	391
1181	24350	370
1182	24373	350
1183	24397	329
1184	24421	309
1185	24443	288
1186	24464	267
1187	24485	247
1188	24506	226
1189	24527	206
1190	24549	185
1191	24571	164
1192	24592	144
1193	24615	123
1194	24638	103
1195	24670	82
1196	24697	61
1197	24722	41
1198	24753	20
1199	24778	0
